Region,year,inflow (kt),outflow (kt),all sand supply (kt),recycled sand supply (kt),sand stock (kt),sand substitution,all gravel supply (kt),recycled gravel supply (kt),gravel stock (kt),gravel substitution
Brazil,2029,203497.78132667425,52254.820814612656,75941.758700638,10085.180417220243,0.0,0.13280151249822866,93825.02936338437,32084.45998017217,0.0,0.3419605642318432
Brazil,2030,207254.4408851186,53728.507444556235,77343.67734490006,10369.601936799354,0.0,0.1340717469452351,95557.08113850158,32989.30357095753,0.0,0.34523138607742143
Brazil,2031,184981.4215012094,55223.670969834944,69031.78198879206,10658.168497178145,0.0,0.1543950944060606,85287.84535576931,33907.33397547866,0.0,0.39756349611175856
Brazil,2032,187847.10585001734,56718.74228028207,70101.204504903,10946.71726009444,0.0,0.15615590826729386,86609.10260201652,34825.307760093194,0.0,0.40209754764601796
Brazil,2033,191983.19897830067,58217.78149726092,71644.72102023657,11236.031828971358,0.0,0.15682986365174986,88516.0966570913,35745.717839318204,0.0,0.4038329658592611
Brazil,2034,194938.68987186585,59728.070433668574,72747.65774425303,11527.517593698036,0.0,0.15845895182252373,89878.76025992843,36673.035246272506,0.0,0.4080278270440588
Brazil,2035,204248.18039942568,61251.56063589346,76221.79431056239,11821.551202727438,0.0,0.15509410805210178,94171.00962211819,37608.458230438584,0.0,0.399363438720162
Brazil,2036,194580.11411020337,62789.38177630822,72613.84363684339,12118.350682827486,0.0,0.16688760814582165,89713.43471609376,38552.68041065324,0.0,0.4297314056992319
Brazil,2037,198219.91168790864,64331.838018343944,73972.15146488568,12416.044737540382,0.0,0.16784755467649518,91391.60590979713,39499.74854326318,0.0,0.43220324394178117
Brazil,2038,201859.3228388928,65882.62740715069,75330.31508533703,12715.347089580084,0.0,0.16879455601872442,93069.59893694645,40451.93322799052,0.0,0.43464174864873145
Brazil,2039,205498.2354926056,67445.77269332805,76688.29267545797,13017.034129812315,0.0,0.16973952184461746,94747.36212610532,41411.704433703424,0.0,0.43707501195216325
Brazil,2040,209171.69250154233,69023.19826123543,78059.16160558166,13321.47726441844,0.0,0.17065872846200134,96441.052393791,42380.24373239856,0.0,0.4394419459396842
Brazil,2041,197932.01307201153,70616.28670535894,73864.71281333789,13628.943334134276,0.0,0.18451223615497864,91258.86688967551,43358.40003709039,0.0,0.4751143808251218
Brazil,2042,201532.26462419145,72212.09707649818,75208.26276683022,13936.934735764149,0.0,0.18531121745190585,92918.80492632955,44338.22760496988,0.0,0.47717173762752685
Brazil,2043,205094.40528597872,73813.94076570211,76537.59041272195,14246.090567780508,0.0,0.18613194498232524,94561.17149175258,45321.759630141096,0.0,0.4792850904358134
Brazil,2044,208505.74905770982,75426.01650049025,77810.64333678236,14557.221184594619,0.0,0.1870852181698025,96134.0113893899,46311.574131301015,0.0,0.4817397449869893
Brazil,2045,211759.18801331086,77050.16255988469,79024.76898720843,14870.681374057745,0.0,0.18817747352687397,97634.0474268896,47308.7998117692,0.0,0.48455227513941795
Brazil,2046,198317.81082507764,78687.61414686128,74008.68568458784,15186.709530344227,0.0,0.20520171909372023,91436.74345065703,48314.195086172826,0.0,0.5283892805329963
Brazil,2047,201081.59263887093,80323.72844802123,75040.07998400465,15502.479590468098,0.0,0.20658932658084275,92711.01734269947,49318.76926708503,0.0,0.5319623350133439
Brazil,2048,203854.9118514021,81961.85803514638,76075.03347128516,15818.638600783252,0.0,0.2079346913038699,93989.68856384692,50324.58083357987,0.0,0.5354266154355276
Brazil,2049,206608.11480822595,83606.40052774189,77102.47992911832,16136.035301854185,0.0,0.20928036707364445,95259.08495030027,51334.32992403352,0.0,0.5388916967952851
Brazil,2050,209225.415447255,85259.13631764127,78079.21005502126,16455.013309304766,0.0,0.21074769196190846,96465.821985509,52349.10969903174,0.0,0.5426700215843864
