Region,year,inflow (kt),outflow (kt),all sand supply (kt),recycled sand supply (kt),sand stock (kt),sand substitution,all gravel supply (kt),recycled gravel supply (kt),gravel stock (kt),gravel substitution
Brazil,1988,57952.30259928847,14962.354291534746,20236.10381579812,0.0,0.0,0.0,26635.60295930953,0.0,0.0,0.0
Brazil,1989,28942.0630784887,49383.873400996046,10106.148795317511,0.0,0.0,0.0,13302.134106943691,0.0,0.0,0.0
Brazil,1990,76317.87184005934,9544.19280997308,26649.094311831162,0.0,0.0,0.0,35076.64824100101,0.0,0.0,0.0
Brazil,1991,120919.98775943427,10574.128553427021,42223.50650369142,0.0,0.0,0.0,55576.338460180596,0.0,0.0,0.0
Brazil,1992,26549.09899520415,37809.74804376282,9270.560433080169,0.0,0.0,0.0,12202.297890616404,0.0,0.0,0.0
Brazil,1993,84952.50852562272,6774.2835700998285,29664.18424861833,0.0,0.0,0.0,39045.235236496475,0.0,0.0,0.0
Brazil,1994,139511.44061054787,11153.550502220663,48715.37228136407,0.0,0.0,0.0,64121.20267382557,0.0,0.0,0.0
Brazil,1995,279788.84900596476,12003.928290657104,97698.20940741849,0.0,0.0,0.0,128594.4537198869,0.0,0.0,0.0
Brazil,1996,114805.03438214294,17379.60811013091,40088.25344520204,0.0,0.0,0.0,52765.829421421186,0.0,0.0,0.0
Brazil,1997,109063.49062783222,19932.73433841864,38083.3896129821,0.0,0.0,0.0,50126.94411481386,0.0,0.0,0.0
Brazil,1998,39814.53638025481,39290.22385633858,13902.658832034045,0.0,0.0,0.0,18299.258795050406,0.0,0.0,0.0
Brazil,1999,55020.85117353768,35007.06126675128,19212.483481112908,0.0,0.0,0.0,25288.27122668294,0.0,0.0,0.0
Brazil,2000,120965.62701748026,19883.517511176167,42239.44307087635,0.0,0.0,0.0,55597.31483389047,0.0,0.0,0.0
Brazil,2001,124485.46973711788,17583.976993214932,43468.521114286865,0.0,0.0,0.0,57215.07856293055,0.0,0.0,0.0
Brazil,2002,68691.0251617017,33843.01662998351,23985.91003358792,0.0,0.0,0.0,31571.25413507713,0.0,0.0,0.0
Brazil,2003,78592.69932525142,30590.317930312467,27443.431086880082,0.0,0.0,0.0,36122.187399564915,0.0,0.0,0.0
Brazil,2004,50615.5582278622,41371.59713603241,17674.219056934762,0.0,0.0,0.0,23263.54350133627,0.0,0.0,0.0
Brazil,2005,156143.55520440458,24329.6237307277,54523.06554809663,0.0,0.0,0.0,71765.53052321018,0.0,0.0,0.0
Brazil,2006,160122.36874698423,19836.0717633101,55912.409548249154,0.0,0.0,0.0,73594.24298183432,0.0,0.0,0.0
Brazil,2007,256828.57617394696,20615.91442129199,89680.8150360434,0.0,0.0,0.0,118041.62521159297,0.0,0.0,0.0
Brazil,2008,238841.27649487622,21483.585318115285,83399.91078641628,0.0,0.0,0.0,109774.43735066186,0.0,0.0,0.0
Brazil,2009,53192.61131300532,41478.96251606569,18574.08862951011,0.0,0.0,0.0,24447.989324922553,0.0,0.0,0.0
Brazil,2010,234555.31854928605,21794.745186134904,81903.31641402679,0.0,0.0,0.0,107804.55748362032,0.0,0.0,0.0
Brazil,2011,303374.2996430098,24267.989744262122,105933.90680384057,0.0,0.0,0.0,139434.62176512412,0.0,0.0,0.0
Brazil,2012,91134.5255460042,28747.773232341562,31822.854958917364,0.0,0.0,0.0,41886.567564240715,0.0,0.0,0.0
Brazil,2013,119979.2291166878,26844.990675293935,41895.007225727255,0.0,0.0,0.0,55143.95402393144,0.0,0.0,0.0
Brazil,2014,32212.415308982956,39633.12075662674,11248.108377287965,0.0,0.0,0.0,14805.228887333087,0.0,0.0,0.0
Brazil,2015,157858.12069309148,28158.51642972316,55121.766957218526,0.0,0.0,0.0,72553.56626218976,0.0,0.0,0.0
Brazil,2016,195185.92152519498,29113.672879019905,68156.09379107856,0.0,0.0,0.0,89709.8903030623,0.0,0.0,0.0
Brazil,2017,210158.89053163794,36247.72709140989,73384.43747467927,0.0,0.0,0.0,96591.65409310986,0.0,0.0,0.0
Brazil,2018,217080.0802006843,37382.48401770213,75801.2165566095,0.0,0.0,0.0,99772.71941342134,0.0,0.0,0.0
Brazil,2019,224062.5447713602,38571.516984860915,78239.39194576246,0.0,0.0,0.0,102981.94744475503,0.0,0.0,0.0
Brazil,2020,231301.83613906437,39812.33506202217,80767.24752869958,0.0,0.0,0.0,106309.21628358272,0.0,0.0,0.0
Brazil,2021,201354.5418247026,41104.43263158364,70310.08656068782,0.0,0.0,0.0,92545.06533036898,0.0,0.0,0.0
Brazil,2022,206270.25334546284,42414.52165083083,72026.58175071399,0.0,0.0,0.0,94804.38781553078,0.0,0.0,0.0
Brazil,2023,211361.67335336708,43746.937888959845,73804.43179684911,0.0,0.0,0.0,97144.46811859171,0.0,0.0,0.0
Brazil,2024,216448.09228044527,45109.24621893531,75580.53553807057,0.0,0.0,0.0,99482.24986236724,0.0,0.0,0.0
Brazil,2025,221658.39338576578,46503.92518443318,77399.89713976349,172.60110693453086,0.0,0.0022299914252193317,101876.96940439063,549.1040396777303,0.0,0.005389874108819586
Brazil,2026,191180.64419609582,47932.676117945986,66757.50902037251,355.8079419524452,0.0,0.00532985647867512,87869.01475722819,1131.9485821699552,0.0,0.01288222686116826
Brazil,2027,194965.55284563568,49363.13711998491,68079.1442433074,549.6395460090628,0.0,0.008073537823047707,89608.60610226024,1748.5942033656193,0.0,0.019513686011030516
Brazil,2028,198671.54885999448,50801.11123658345,69373.22431819332,754.2011129738928,0.0,0.010871645658483564,91311.92821337264,2399.3755614817105,0.0,0.0262766936196439
Brazil,2029,203497.78132667425,52254.820814612656,71058.47471989361,969.7288862711772,0.0,0.013646913898641436,93530.12500635716,3085.0442288627087,0.0,0.03298449808180007
