scenario,region,variables,unit,2025,2030,2035,2040,2045,2050
SSP2-Base-image,JAP,Production|Sand|SAND_RIVER,kt,14871.155344768364,13830.82190707059,12316.3663713742,11293.88131947219,10516.750469667471,9672.424138508839
SSP2-Base-image,JAP,Production|Sand|SAND_ZINC,kt,4.675824178113237,4.348720054155699,3.8725413278687864,3.5510491359978484,3.3067017982939944,3.041226696869676
SSP2-Base-image,KOR,Production|Gravel|GRAVEL_ADR,kt,540.044467489222,3650.714289189125,7414.097075318725,11743.624834137829,14465.885138469936,15968.80408119647
SSP2-Base-image,KOR,Production|Gravel|GRAVEL_CRUSHED,kt,52936.22433980224,45182.788560849855,36692.95577215456,28142.13017471069,21354.401871074668,15968.80408119647
SSP2-Base-image,KOR,Production|Gravel|GRAVEL_ROUND,kt,52936.22433980224,45182.788560849855,36692.95577215456,28142.13017471069,21354.401871074668,15968.80408119647
SSP2-Base-image,KOR,Production|Sand|SAND_HAS,kt,169.75339124661213,1147.5372277092852,2330.4897972907397,3691.399988580784,5192.38075958215,6787.323389331842
SSP2-Base-image,KOR,Production|Sand|SAND_QUARRY,kt,30501.542885688716,27151.24883361491,23607.88569895592,20227.88442168826,16838.019464667963,13486.348635470013
SSP2-Base-image,KOR,Production|Sand|SAND_RIVER,kt,12608.305933732592,11223.407716130267,9758.701271491624,8361.523092016872,6960.267601029727,5574.800270341916
SSP2-Base-image,KOR,Production|Sand|SAND_ZINC,kt,3.9643336622621854,3.528890657333254,3.0683541590652155,2.629050059197914,2.188463961307637,1.7528420144832373
SSP2-Base-image,ME,Production|Gravel|GRAVEL_ADR,kt,1318.135434591679,9407.002247430064,20319.694137675324,34375.95625535223,51795.36627129856,72706.02869116378
SSP2-Base-image,ME,Production|Gravel|GRAVEL_CRUSHED,kt,213235.99335903153,218485.36299015174,210105.93423376878,204582.28696802864,196077.72435366936,183856.42568788165
SSP2-Base-image,ME,Production|Gravel|GRAVEL_ROUND,kt,213235.99335903153,218485.36299015174,210105.93423376878,204582.28696802864,196077.72435366936,183856.42568788165
SSP2-Base-image,ME,Production|Sand|SAND_HAS,kt,414.3324737397298,2956.9241592084727,6387.135127966348,10805.47159166609,16280.953893095477,22853.84940943748
SSP2-Base-image,ME,Production|Sand|SAND_QUARRY,kt,122565.08606769888,128404.04478155899,127427.88808026056,129188.02163329322,130419.13520030875,130744.74990282865
SSP2-Base-image,ME,Production|Sand|SAND_RIVER,kt,50664.26009095049,53077.88808592396,52674.37792988498,53401.95759377392,53910.85829267541,54045.45639485268
