scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
SSP2-Base-image,EAF,Production|Sand|SAND_RIVER,kt,24327.32170657722,28239.833795652885,34401.60674240849,41908.222228651866,53588.12740231664,68848.80101779832,90321.63942813904
SSP2-Base-image,EAF,Production|Sand|SAND_ZINC,kt,7.649054588375999,8.879235983105104,10.81663534828756,13.176883316427034,16.84930699454458,21.647604437565168,28.399145570992392
SSP2-Base-image,INDIA,DUMMY,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSP2-Base-image,INDIA,Production|Gravel|GRAVEL_ADR,kt,114331.5908110652,134586.46130899698,159895.5193667593,190958.83504804393,228371.8009959225,272980.49630398385,325211.88967505237
SSP2-Base-image,INDIA,Production|Gravel|GRAVEL_CRUSHED,kt,721121.489503721,898710.1026353195,1029549.0127374157,1211878.6231848104,1407698.485006898,1568032.6953502772,1704558.1457023867
SSP2-Base-image,INDIA,Production|Gravel|GRAVEL_ROUND,kt,721121.489503721,898710.1026353195,1029549.0127374157,1211878.6231848104,1407698.485006898,1568032.6953502772,1704558.1457023867
SSP2-Base-image,INDIA,Production|Sand|SAND_HAS,kt,35938.10590640975,42304.86487400068,50260.3179768478,60024.519811518694,71784.621485689,85806.57294245747,102224.5842138194
SSP2-Base-image,INDIA,Production|Sand|SAND_RIVER,kt,721121.489503721,898710.1026353195,1029549.0127374157,1211878.6231848104,1407698.485006898,1568032.6953502772,1704558.1457023867
SSP2-Base-image,INDO,DUMMY,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSP2-Base-image,INDO,Production|Gravel|GRAVEL_ADR,kt,12718.42222036356,15145.528416133766,18145.415194731846,21693.979981790464,25822.471766180726,30526.562142609797,35753.96897617967
SSP2-Base-image,INDO,Production|Gravel|GRAVEL_CRUSHED,kt,82982.24771581336,95464.54850417413,102307.5198510781,105797.30045966641,111409.11140060032,115204.17783150011,121466.85895879721
SSP2-Base-image,INDO,Production|Gravel|GRAVEL_ROUND,kt,82982.24771581336,95464.54850417413,102307.5198510781,105797.30045966641,111409.11140060032,115204.17783150011,121466.85895879721
SSP2-Base-image,INDO,Production|Sand|SAND_HAS,kt,3997.8102419058096,4760.727987481787,5703.689141015059,6819.117486132834,8116.835587740848,9595.482888475066,11238.625427365921
SSP2-Base-image,INDO,Production|Sand|SAND_QUARRY,kt,58707.091819218884,67537.89116086843,72379.05849770378,74847.9584884458,78818.12209873713,81503.0013295562,85933.63325499941
SSP2-Base-image,INDO,Production|Sand|SAND_RIVER,kt,24267.525643227083,27917.8793370123,29919.054132922472,30939.61386394088,32580.745186153836,33690.58342824403,35522.056773874734
SSP2-Base-image,INDO,Production|Sand|SAND_ZINC,kt,7.630253367335234,8.77800629334246,9.407220451786404,9.728107279667157,10.244115709271911,10.593073699814699,11.168929922988553
SSP2-Base-image,JAP,DUMMY,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSP2-Base-image,JAP,Production|Gravel|GRAVEL_ADR,kt,60107.65511246925,63016.44375612267,65625.33131610705,67881.51124368586,69708.95327957795,71113.23729280964,72096.0299857754
SSP2-Base-image,JAP,Production|Gravel|GRAVEL_CRUSHED,kt,38138.190483786704,34706.54924254556,26564.205626157316,15030.592750812997,8970.915615109596,6008.680124582432,3169.7842503342836
SSP2-Base-image,JAP,Production|Gravel|GRAVEL_ROUND,kt,38138.190483786704,34706.54924254556,26564.205626157316,15030.592750812997,8970.915615109596,6008.680124582432,3169.7842503342836
SSP2-Base-image,JAP,Production|Sand|SAND_HAS,kt,18893.774326883657,19808.100398911523,20628.15788926492,21337.347996793764,21911.771959215872,22353.18370930336,22662.107145365884
SSP2-Base-image,JAP,Production|Sand|SAND_QUARRY,kt,26981.460639850306,24553.69225582073,18793.26364043817,10633.628432688392,6346.6148630045145,4250.934934833716,2242.5135514379062
SSP2-Base-image,JAP,Production|Sand|SAND_RIVER,kt,11153.223020918522,10149.665704595003,7768.499395586796,4395.582248656644,2623.4758725559614,1757.1926890269804,926.9792358712635
SSP2-Base-image,JAP,Production|Sand|SAND_ZINC,kt,3.506823017852907,3.1912821298049088,2.442590132334375,1.3820694679505563,0.8248795491138053,0.5525007217308541,0.2914630251119403
SSP2-Base-image,KOR,DUMMY,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSP2-Base-image,KOR,Production|Gravel|GRAVEL_ADR,kt,23332.751474108714,26678.196693967566,30057.54764765712,33296.035956431355,36258.44167540054,38858.42986610952,41026.380652821375
SSP2-Base-image,KOR,Production|Gravel|GRAVEL_CRUSHED,kt,83668.75115812042,72535.23246827858,56961.675060657435,41436.03271344931,27455.664441290486,14403.53318962986,2451.4986258266435
SSP2-Base-image,KOR,Production|Gravel|GRAVEL_ROUND,kt,83668.75115812042,72535.23246827858,56961.675060657435,41436.03271344931,27455.664441290486,14403.53318962986,2451.4986258266435
SSP2-Base-image,KOR,Production|Sand|SAND_HAS,kt,7334.236212545573,8385.817527582638,9448.05650813978,10466.017816923862,11397.197464743167,12214.457596350388,12895.914439730499
